data_type,partition_type,is_watermark
INT64,RANGE,YES
INT,RANGE,YES
SMALLINT,RANGE,YES
INTEGER,RANGE,YES
BIGINT,RANGE,YES
TINYINT,RANGE,YES
BYTEINT,RANGE,YES
DATETIME,TIME,YES
DATE,TIME,YES
TIME,TIME,YES
TIMESTAMP,TIME,YES
